年,月,日,第一の命数,第二の命数,第三の命数
2011,3,31,21,21,27
2011,5,31,30,21,23
2011,7,31,29,23,28
2011,8,31,58,53,60
2011,10,31,57,52,51
2011,12,31,56,54,51
2012,1,1,55,53,51
2012,2,1,24,28,27
2012,3,1,60,56,51
2012,4,1,27,24,27
2012,5,1,57,57,58
2012,6,1,28,26,26
2012,7,1,58,55,52
2012,8,1,35,36,34
2012,9,1,6,8,5
2012,10,1,36,37,35
2012,11,1,3,3,9
2012,12,1,33,37,35
2012,1,2,54,52,57
2012,2,2,23,27,26
2012,3,2,57,53,57
2012,4,2,28,23,26
2012,5,2,58,58,52
2012,6,2,35,33,34
2012,7,2,5,4,10
2012,8,2,36,35,35
2012,9,2,3,5,9
2012,10,2,33,36,35
2012,11,2,4,4,9
2012,12,2,34,38,35
2012,1,3,53,51,52
2012,2,3,32,36,34
2012,3,3,58,54,52
2012,4,3,35,32,34
2012,5,3,5,5,10
2012,6,3,36,34,35
2012,7,3,6,3,5
2012,8,3,33,34,35
2012,9,3,4,6,9
2012,10,3,34,35,35
2012,11,3,1,1,2
2012,12,3,31,35,31
2012,1,4,2,10,10
2012,2,4,31,36,33
2012,3,4,5,1,10
2012,4,4,31,31,33
2012,5,4,6,6,5
2012,6,4,33,31,35
2012,7,4,3,2,9
2012,8,4,34,33,35
2012,9,4,1,3,1
2012,10,4,31,34,31
2012,11,4,2,2,10
2012,12,4,32,36,36
2012,1,5,1,9,5
2012,2,5,40,33,33
2012,3,5,1,2,9
2012,4,5,40,40,33
2012,5,5,10,3,3
2012,6,5,39,32,36
2012,7,5,4,1,9
2012,8,5,31,32,31
2012,9,5,2,4,10
2012,10,5,32,33,36
2012,11,5,9,9,8
2012,12,5,39,33,34
2012,1,6,9,8,3
2012,2,6,39,34,36
2012,3,6,10,9,3
2012,4,6,39,39,36
2012,5,6,9,4,10
2012,6,6,38,39,34
2012,7,6,8,9,8
2012,8,6,32,31,36
2012,9,6,9,1,8
2012,10,6,39,32,34
2012,11,6,10,10,9
2012,12,6,40,34,39
2012,1,7,10,7,10
2012,2,7,38,31,34
2012,3,7,9,10,10
2012,4,7,38,38,34
2012,5,7,8,1,8
2012,6,7,37,40,32
2012,7,7,7,9,2
2012,8,7,36,39,33
2012,9,7,5,2,7
2012,10,7,40,31,39
2012,11,7,4,7,7
2012,12,7,34,31,37
2012,1,8,7,6,8
2012,2,8,37,32,32
2012,3,8,8,7,8
2012,4,8,37,37,32
2012,5,8,7,2,2
2012,6,8,36,37,33
2012,7,8,6,8,7
2012,8,8,35,40,33
2012,9,8,4,9,7
2012,10,8,34,40,37
2012,11,8,3,8,10
2012,12,8,33,32,34
2012,1,9,8,5,2
2012,2,9,36,39,33
2012,3,9,7,8,2
2012,4,9,36,36,33
2012,5,9,6,9,7
2012,6,9,35,38,33
2012,7,9,5,7,7
2012,8,9,34,37,37
2012,9,9,3,10,10
2012,10,9,33,39,34
2012,11,9,12,15,18
2012,12,9,42,49,42
2012,1,10,5,4,7
2012,2,10,35,40,33
2012,3,10,6,5,7
2012,4,10,35,35,33
2012,5,10,5,10,7
2012,6,10,34,35,37
2012,7,10,4,6,7
2012,8,10,33,38,34
2012,9,10,12,17,18
2012,10,10,42,48,42
2012,11,10,11,16,16
2012,12,10,41,50,46
2012,1,11,6,3,7
2012,2,11,34,37,37
2012,3,11,5,6,7
2012,4,11,34,33,37
2012,5,11,4,7,7
2012,6,11,33,36,34
2012,7,11,3,5,10
2012,8,11,42,45,42
2012,9,11,11,18,16
2012,10,11,41,47,46
2012,11,11,20,13,17
2012,12,11,50,47,41
