年,月,日,命数1,命数2,命数3
2001,10,22,53,51,52
2001,11,22,30,26,21
2001,12,22,60,55,51
2001,1,23,23,24,23
2001,2,23,52,60,52
2001,3,23,24,21,27
2001,4,23,51,53,53
2001,5,23,21,21,23
2001,6,23,52,53,52
2001,7,23,22,23,28
2001,8,23,59,53,52
2001,9,23,30,23,21
2001,10,23,60,52,51
2001,11,23,27,23,25
2001,12,23,57,54,51
2001,1,24,24,23,28
2001,2,24,59,57,52
2001,3,24,21,30,23
2001,4,24,52,54,52
2001,5,24,22,22,28
2001,6,24,59,52,52
2001,7,24,29,22,26
2001,8,24,60,54,51
2001,9,24,27,22,25
2001,10,24,57,59,51
2001,11,24,28,24,25
2001,12,24,58,53,51
2001,1,25,21,22,26
2001,2,25,60,58,51
2001,3,25,22,29,28
2001,4,25,59,51,52
2001,5,25,29,29,26
2001,6,25,60,51,51
2001,7,25,30,21,21
2001,8,25,57,51,51
2001,9,25,28,21,25
2001,10,25,58,60,51
2001,11,25,25,21,27
2001,12,25,55,52,57
2001,1,26,22,21,21
2001,2,26,57,55,51
2001,3,26,29,28,26
2001,4,26,60,52,51
2001,5,26,30,30,21
2001,6,26,57,58,51
2001,7,26,27,30,25
2001,8,26,58,52,51
2001,9,26,25,30,27
2001,10,26,55,57,57
2001,11,26,26,22,26
2001,12,26,56,51,52
2001,1,27,29,30,25
2001,2,27,58,56,51
2001,3,27,30,27,21
2001,4,27,57,59,51
2001,5,27,27,27,25
2001,6,27,58,57,51
2001,7,27,28,29,25
2001,8,27,55,59,57
2001,9,27,26,29,26
2001,10,27,56,58,52
2001,11,27,33,39,36
2001,12,27,3,10,10
2001,1,28,30,29,25
2001,2,28,55,53,57
2001,3,28,27,26,25
2001,4,28,58,60,51
2001,5,28,28,28,25
2001,6,28,55,56,57
2001,7,28,25,28,27
2001,8,28,56,60,52
2001,9,28,33,38,34
2001,10,28,3,5,10
2001,11,28,34,40,35
2001,12,28,4,9,5
2001,1,29,27,28,27
2001,3,29,28,25,25
2001,4,29,55,57,57
2001,5,29,25,25,27
2001,6,29,56,55,52
2001,7,29,26,27,26
2001,8,29,3,7,10
2001,9,29,34,37,35
2001,10,29,4,6,5
2001,11,29,31,37,35
2001,12,29,4,8,9
2001,1,30,28,27,26
2001,3,30,25,24,27
2001,4,30,56,58,52
2001,5,30,26,26,25
2001,6,30,3,4,10
2001,7,30,33,36,34
2001,8,30,4,8,5
2001,9,30,31,36,35
2001,10,30,1,3,9
2001,11,30,32,38,35
2001,12,30,2,7,9
2001,1,31,35,36,34
2001,3,31,26,23,26
2001,5,31,33,33,34
2001,7,31,34,35,35
2001,8,31,1,5,9
2001,10,31,2,4,9
2001,12,31,9,6,1
2002,1,1,10,5,10
2002,2,1,37,40,34
2002,3,1,10,7,1
2002,4,1,39,37,36
2002,5,1,9,2,10
2002,6,1,38,37,34
2002,7,1,8,8,7
2002,8,1,37,39,39
2002,9,1,6,9,9
2002,10,1,36,40,33
2002,11,1,5,8,9
2002,12,1,35,32,33
2002,1,2,7,4,8
2002,2,2,38,39,39
2002,3,2,9,8,10
2002,4,2,38,36,34
2002,5,2,8,9,8
2002,6,2,37,38,39
2002,7,2,7,7,9
2002,8,2,36,38,33
2002,9,2,5,10,9
2002,10,2,35,39,33
2002,11,2,14,15,15
2002,12,2,44,49,45
2002,1,3,8,3,9
2002,2,3,35,38,33
2002,3,3,8,5,8
2002,4,3,37,35,39
2002,5,3,7,10,9
2002,6,3,36,35,33
2002,7,3,6,6,9
2002,8,3,35,37,33
2002,9,3,14,17,15
2002,10,3,44,48,45
2002,11,3,13,16,20
2002,12,3,43,50,44
2002,1,4,5,2,9
2002,2,4,36,38,34
2002,3,4,7,6,9
2002,4,4,36,34,33
2002,5,4,6,7,9
2002,6,4,35,36,33
2002,7,4,5,5,9
2002,8,4,44,46,45
2002,9,4,13,18,20
2002,10,4,43,47,44
2002,11,4,12,13,18
2002,12,4,42,47,42
2002,1,5,8,1,10
2002,2,5,43,45,42
2002,3,5,5,7,7
2002,4,5,36,33,34
2002,5,5,5,8,9
2002,6,5,44,43,45
2002,7,5,14,14,15
2002,8,5,43,45,44
2002,9,5,12,15,18
2002,10,5,42,46,42
2002,11,5,11,14,13
2002,12,5,41,48,43
2002,1,6,15,20,18
2002,2,6,44,46,46
2002,3,6,6,4,10
2002,4,6,43,42,42
2002,5,6,13,15,18
2002,6,6,44,44,46
2002,7,6,13,13,20
2002,8,6,42,44,42
2002,9,6,11,16,13
2002,10,6,41,45,43
2002,11,6,20,11,17
2002,1,7,16,19,16
2002,2,7,41,43,41
2002,3,7,13,11,18
2002,4,7,44,41,46
2002,5,7,14,16,16
2002,6,7,41,41,42
2002,7,7,11,12,17
2002,8,7,41,43,43
2002,9,7,20,13,17
2002,10,7,50,44,43
2002,11,7,20,12,18
2002,12,7,50,46,44
2002,1,8,13,18,17
2002,2,8,42,44,41
2002,3,8,14,12,16
2002,4,8,41,50,41
2002,5,8,11,13,17
2002,6,8,42,42,41
2002,7,8,12,11,17
2002,8,8,49,41,41
2002,9,8,20,14,18
2002,10,8,50,43,44
2002,11,8,17,19,16
2002,12,8,47,43,42
2002,1,9,14,17,17
2002,2,9,49,41,41
2002,3,9,11,19,17
